id,name,country,issue
Employee151,David Brown,China,
Employee152,Craig Medina,Poland,
Employee153,Raymond Kennedy,Indonesia,
Employee154,Stephanie Kelly,Syria,
Employee155,Bobby Rodriguez,Mexico,
Employee156,Ann Watson,Mongolia,
Employee157,Mark Nichols,Japan,
Employee158,Aaron Gonzales,Russia,
Employee159,Alice Fuller,Japan,
Employee160,Willie Gonzalez,Ireland,
Employee161,Aaron Kelley,Ireland,
Employee162,Kelly Carroll,China,
Employee163,Gerald Carter,Afghanistan,
Employee164,Martin Woods,Bosnia and Herzegovina,
Employee165,Anna Duncan,Russia,
Employee166,Nancy Greene,China,
Employee167,Daniel White,Russia,
Employee168,Kathleen Lane,China,
Employee169,Raymond Rose,Namibia,
Employee170,Jerry Mcdonald,Colombia,
Employee171,Louise Day,Guatemala,
Employee172,Judy Gonzales,Colombia,
Employee173,Martin Ferguson,Canada,
Employee174,Harold Stevens,Indonesia,
Employee175,John Clark,China,
Employee176,Kathy Parker,China,
Employee177,Dennis Cox,Namibia,
Employee178,Harry Reynolds,Iran,
Employee179,Lillian Williamson,China,
Employee180,Mary Wells,Slovenia,
Employee181,Michelle Evans,China,
Employee182,Bruce Snyder,China,
Employee183,Johnny Reed,Greece,
Employee184,Christina Cook,Indonesia,
Employee185,Wanda Tucker,Madagascar,
Employee186,Dorothy Ray,Philippines,
Employee187,Peter Perkins,Portugal,
Employee188,Nicole Spencer,Egypt,
Employee189,Catherine Nelson,France,
Employee190,Jimmy Adams,China,
Employee191,Anna Dixon,Russia,
Employee192,Brenda Dean,China,
Employee193,Jacqueline Hunt,Mexico,
Employee194,Timothy Mitchell,Estonia,
Employee195,Patrick Black,Costa Rica,
Employee196,Catherine Cook,France,
Employee197,Denise Tucker,Indonesia,
Employee198,Alice Arnold,Indonesia,
Employee199,Jean White,Portugal,
Employee200,Ralph Johnson,United States,
Employee201,Matthew Robinson,China,
Employee202,Virginia Harrison,Indonesia,
Employee203,Jessica Anderson,Albania,
Employee204,Albert Brooks,Portugal,
Employee205,Dorothy Spencer,China,
Employee206,Linda James,Russia,
Employee207,Harry Little,Indonesia,
Employee208,Daniel Medina,Laos,
Employee209,Sara Carr,Indonesia,
Employee210,Howard Fernandez,Indonesia,
Employee211,Scott Garcia,Philippines,
Employee212,Ernest Franklin,Indonesia,
Employee213,Julie Green,United States,
Employee214,Rebecca Sullivan,China,
Employee215,Donald Watkins,Russia,
Employee216,Lois Nguyen,Philippines,
Employee217,Deborah Elliott,Canada,
Employee218,Margaret Gordon,Dominican Republic,
Employee219,Cynthia Griffin,Botswana,
Employee220,Rachel Hayes,Poland,
Employee221,Helen Dunn,China,
Employee222,Carol Young,China,
Employee223,Jose Baker,China,
Employee224,Eugene Myers,Brazil,
Employee225,Lillian Ellis,Sweden,
Employee226,Jessica Kennedy,Czech Republic,
Employee227,Anthony Hall,France,
Employee228,Dorothy Taylor,Germany,
Employee229,Walter Ramos,Brazil,
Employee230,Julie Ruiz,China,
Employee231,Kathryn Davis,Portugal,
Employee232,Aaron Stevens,Ukraine,
Employee233,Jacqueline Hall,Jordan,
Employee234,Deborah Moreno,Poland,
Employee235,Samuel Henry,Cape Verde,
Employee236,Ashley Fox,China,
Employee237,Deborah Morrison,China,
Employee238,Douglas Harvey,China,
Employee239,Eugene Powell,Madagascar,
Employee240,Tammy Fisher,Czech Republic,
Employee241,Matthew Hughes,United States,
Employee242,Deborah Wood,United States,
Employee243,Martha Howell,Indonesia,
Employee244,Mildred Long,Russia,
Employee245,Keith Edwards,Indonesia,
Employee246,Nancy Carroll,China,
Employee247,Todd Howell,China,
Employee248,Arthur Reed,Philippines,
Employee249,William Harvey,United States,
Employee250,Brenda Schmidt,France,
Employee251,Patricia Cox,Japan,
Employee252,Anna Hughes,China,
Employee253,Phillip Kelly,Poland,
Employee254,Carl Fuller,Myanmar,
Employee255,Samuel Adams,Pakistan,
Employee256,Alan Lynch,Portugal,
Employee257,Tammy Gardner,Indonesia,
Employee258,Steven Patterson,Colombia,
Employee259,Roger Nelson,China,
Employee260,Anthony Allen,Germany,
Employee261,Daniel Jordan,Indonesia,
Employee262,Donna Wheeler,Cape Verde,
Employee263,Janet Weaver,China,
Employee264,Diana Hawkins,France,
Employee265,Carlos Johnston,Canada,
Employee266,Julie Hunter,Serbia,
Employee267,Earl Green,China,
Employee268,Frances Cook,Philippines,
Employee269,George Foster,China,
Employee270,Nicole Murphy,Japan,
Employee271,Matthew Phillips,Netherlands,
Employee272,John Webb,Indonesia,
Employee273,Ralph Sims,China,
Employee274,Paula Moore,Philippines,
Employee275,Louis Stanley,Nigeria,
Employee276,Jennifer Butler,Serbia,
Employee277,Frank Foster,Argentina,
Employee278,Brian Harvey,Peru,
Employee279,Jessica Hughes,Armenia,
Employee280,Gary Lynch,Peru,
Employee281,Timothy Hughes,Portugal,
Employee282,Marie Woods,Russia,
Employee283,Jimmy Gilbert,Colombia,
Employee284,Denise Butler,Philippines,
Employee285,Randy Knight,Czech Republic,
Employee286,Lisa Garrett,Canada,
Employee287,Catherine Wells,China,
Employee288,Jacqueline Mitchell,United States,
Employee289,David Brooks,Brazil,
Employee290,Alan Sims,Colombia,
Employee291,Ryan Ramirez,China,
Employee292,Charles Alexander,Burkina Faso,
Employee293,Earl Palmer,Poland,
Employee294,Louis Crawford,Poland,
Employee295,Patricia Stevens,Chile,
Employee296,Julia Watson,Burkina Faso,
Employee297,Jonathan Owens,Nicaragua,
Employee298,Peter Foster,China,
Employee299,Lawrence Rodriguez,China,
Employee300,Daniel Nichols,China,
Employee301,Pamela Cole,China,
Employee302,Keith Hicks,China,
Employee303,Matthew Wright,China,
Employee304,Joseph Scott,Brazil,
Employee305,Irene Snyder,Afghanistan,
Employee306,Bobby Hernandez,Dominican Republic,
Employee307,Wayne Stanley,Russia,
Employee308,Willie Marshall,Albania,
Employee309,Michael Fox,Mauritius,
Employee310,Jack Thompson,Portugal,
Employee311,Jack Diaz,China,
Employee312,Stephanie Morris,Russia,
Employee313,Patricia Vasquez,China,
Employee314,Patrick Ford,Indonesia,
Employee315,Gloria Watkins,China,
Employee316,Julia Boyd,Afghanistan,
Employee317,Alice Gibson,Canada,
Employee318,Roy Little,Thailand,
Employee319,Jennifer Morrison,France,
Employee320,Christina Meyer,Philippines,
Employee321,Harold Henderson,Philippines,
Employee322,Kathy Berry,China,
Employee323,Jeffrey Ryan,Morocco,
Employee324,Terry Gomez,Venezuela,
Employee325,Albert Watson,Israel,
Employee326,Deborah Clark,Indonesia,
Employee327,Margaret Schmidt,Serbia,
Employee328,Judy Dean,Portugal,
Employee329,Lois Wagner,Russia,
Employee330,Melissa Sims,Russia,
Employee331,Henry Franklin,China,
Employee332,Harold Johnson,Thailand,
Employee333,Fred Gutierrez,Czech Republic,
Employee334,Jeffrey Chavez,Russia,
Employee335,Louis Price,China,
Employee336,Norma Williams,China,
Employee337,Cynthia Bennett,Moldova,
Employee338,Amanda Ward,Indonesia,
Employee339,Thomas Crawford,Democratic Republic of the Congo,
Employee340,Irene Wallace,Indonesia,
Employee341,Jimmy Wells,Colombia,
Employee342,Carlos Olson,Russia,
Employee343,Carol Allen,Azerbaijan,
Employee344,Julie Reid,Indonesia,
Employee345,Sara Larson,Colombia,
Employee346,Billy Harris,Sweden,
Employee347,Stephen Lynch,China,
Employee348,Jeffrey Robinson,China,
Employee349,Sharon Davis,China,
Employee350,Nicholas Banks,Cuba,
